Unigram  Probability
unbelievable    0.0002211720312168522
chuck    2.708228953675744e-05
todd    4.062343430513613e-05
today    0.0003295011893638823
show    0.00017603488198892326
real    0.0002933914699815387
jobs    0.0007808726816431728
up    0.0017513213900436475
me    0.003006134138580075
right    0.0020086031406428427
now    0.002107904868944287
worse    0.00016249373722054456
than    0.0012051618843857057
12    8.124686861027228e-05
years    0.0008305235457938948
ago    0.000631920089191007
shame    2.256857461396453e-05
funny    4.062343430513613e-05
every    0.0005732417951946989
time    0.0011103738710070553
des    2.708228953675744e-05
moines    2.708228953675744e-05
register    2.256857461396453e-05
poll    0.00042880291766532594
badly    0.00017603488198892326
...    0.0008982292696357879
only    0.0006274063742682142
doing    0.0011645384500805695
sue    1.8054859691171638e-05
mind    6.319200891910074e-05
hope    6.770572384189355e-05
enough    9.478801337865105e-05
money    0.0015662590782091381
give    0.0005867829399630781
my    0.001548204218517967
word    9.027429845585813e-05
win    0.0011103738710070553
touching    9.027429845585819e-06
iowa    0.000491994926584427
an    0.0014082790559113865
amazing    0.0004739400668932553
tradition    9.027429845585819e-06
seriously    2.256857461396453e-05
moving    0.00014443887752937289
sergeant    4.513714922792906e-05
bergdahl    9.027429845585813e-05
traitor    7.221943876468644e-05
five    0.00024374060583081712
greatest    0.0002121446013712665
killers    3.6109719382343215e-05
ve    0.002459974632922133
wanted    0.0004107480579741546
nine    9.930172830144402e-05
deal    0.0009117704144041671
one    0.0024012963389258256
come    0.0009749624233232678
here    0.0012773813231503923
tonight    0.00012638401783820127
pander    4.5137149227929095e-06
israel    0.0003475560490550538
what    0.003845685114219557
politicians    0.0003114463296727105
talk    0.0007041395279556932
action    5.4164579073514886e-05
came    0.0006815709533417286
speak    0.0001038154432242369
where    0.0009207978442497531
stand    0.0001308977327609942
future    5.867829399630779e-05
american    0.00034304233413226076
relations    1.8054859691171638e-05
with    0.003877281118679107
strategic    9.027429845585819e-06
ally    1.354114476837872e-05
unbreakable    9.027429845585819e-06
friendship    9.027429845585819e-06
cultural    4.5137149227929095e-06
brother    2.708228953675744e-05
democracy    2.708228953675744e-05
middle    0.00027533661029036723
east    0.0002031171715256809
state    0.00030693261474991763
problem    0.0004829674967388411
begin    3.6109719382343215e-05
did    0.001065236721779126
lyin    3.159600445955037e-05
ted    0.00014895259245216593
he    0.00543902648196545
comes    0.00017603488198892326
ever    0.0008214961159483086
guy    0.0007853863965659655
like    0.0025773312209147496
look    0.001561745363286346
ben    0.00012187030291540855
carson    8.124686861027228e-05
'm    0.00023019946106243803
conservative    0.00011284287306982275
republican    0.0001986034566028877
disappointed    4.062343430513613e-05
by    0.0019363837018781561
let    0.0008666332651762377
away    0.0003204737595182963
absolute    4.513714922792906e-05
murder    2.708228953675744e-05
oh    0.0006499749488821783
're    0.0011058601560842622
--    0.0004513714922792907
happens    0.00020763088644847383
immigration    0.00036561090874622545
from    0.0015346630737495884
afghanistan    4.513714922792906e-05
has    0.0013766830514518364
increased    1.8054859691171638e-05
nearly    3.6109719382343215e-05
five-fold    4.5137149227929095e-06
year    0.0003701246236690183
according    4.9650864150722e-05
pew    1.354114476837872e-05
research    2.256857461396453e-05
